# Simulation 1 (Up to date)
# 473 data points written for 57 variables.
#
# Время (s),Высота (m),Altitude above sea level (m),Вертикальная скорость (m/s),Общая скорость (m/s),Вертикальное ускорение (m/s²),Общее ускорение (m/s²),Положение по ветру (m),Положение против ветра (m),Боковая дистанция (m),Боковое направление (°),Боковая скорость (m/s),Боковое ускорение (m/s²),Широта (° С),Долгота (° В),Угол атаки (°),Угловая скорость крена (°/s),Угловая скорость тангажа (°/s),Угловая скорость рысканья (°/s),Вертикальная ориентация (зенит) (°),Продольная ориентация (азимут) (°),Масса (g),Масса топлива (g),Продольный момент инерции (kg·m²),Крутящий момент инерции (kg·m²),Гравитационное ускорение (m/s²),Положение ЦД (cm),Положение ЦТ (cm),Запас устойчивости в калибрах (​),Тяга (N),Thrust-to-weight ratio (​),Сила аэродинамического сопротивления (N),Коэффициент аэродинамического сопротивления (​),Коэффициент давления аэродинамического сопротивления (​),Коэффициент базового аэродинамического сопротивления (​),Коэффициент осевого аэродинамического сопротивления (​),Коэффициент нормализации тяги (​),Коэффициент момента тангажа (​),Коэффициент момента рысканья (​),Коэффициент боковой тяги (​),Коэффициент момента крена (​),Коэффициент усиления крена (​),Коэффициент затухания крена (​),Коэффициент затухания тангажа (​),Скорость ветра (m/s),Wind direction (°),Температура воздуха (°C),Давление воздуха (mbar),Air density (g/cm³),Скорость звука (m/s),Число Маха (​),Число Рейнольдса (​),Характерная длина миделя (cm),Характерная площадь (cm²),Временной шаг расчета (s),Время расчета (s),Кориолисово ускорение (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,342.089,51,0.007,7.11e-5,9.792,NaN,23.327,NaN,0,0,0,0.45,0.101,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.945,90,15,1013.25,0.001,340.389,0.006,6.181e4,4,12.566,0.01,0.006,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,341.992,50.903,0.007,7.11e-5,9.792,NaN,23.322,NaN,0.675,0.202,0,0.449,0.101,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.958,90,15,1013.25,0.001,340.389,0.006,6.221e4,4,12.566,0.01,0.01,0
0.02,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,341.895,50.806,0.007,7.109e-5,9.792,NaN,23.317,NaN,1.35,0.403,0,0.449,0.101,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.971,90,15,1013.25,0.001,340.389,0.006,6.262e4,4,12.566,0.01,0.011,0
0.03,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,341.797,50.709,0.007,7.109e-5,9.792,NaN,23.312,NaN,2.025,0.605,0,0.448,0.101,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.984,90,15,1013.25,0.001,340.389,0.006,6.303e4,4,12.566,0.01,0.012,0
0.04,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,341.7,50.611,0.007,7.108e-5,9.792,NaN,23.307,NaN,2.7,0.807,0,0.447,0.101,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.997,90,15,1013.25,0.001,340.389,0.006,6.344e4,4,12.566,0.01,0.013,0
0.05,0,0,1.462e-4,1.547e-4,0.088,0.093,0,0,0,0,5.078e-5,0.03,28.61,-80.6,89.996,0,0,0,90,0,341.603,50.514,0.007,7.108e-5,9.792,NaN,23.302,NaN,3.375,1.009,0,0.446,0.101,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.009,90,15,1013.25,0.001,340.389,0.006,6.384e4,4,12.566,0.01,0.013,2.013e-8
0.06,3.883e-5,3.883e-5,0.011,0.011,2.067,2.067,-2.045e-6,0,2.045e-6,270,3.596e-4,0.031,28.61,-80.6,89.693,0,0,0,90,0,341.506,50.417,0.007,7.107e-5,9.792,NaN,23.297,NaN,4.05,1.211,0,0.445,0.101,0.12,2.577e-7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.035,90,15,1013.25,0.001,340.389,0.006,6.465e4,4,12.566,0.01,0.014,1.399e-6
0.07,2.844e-4,2.844e-4,0.041,0.041,4.048,4.048,-7.221e-6,0,7.221e-6,270,6.769e-4,0.032,28.61,-80.6,88.846,0,0,0,90,0,341.409,50.32,0.007,7.107e-5,9.792,NaN,23.292,NaN,4.725,1.413,4.402e-8,0.443,0.101,0.12,1.347e-5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.061,90,15,1013.25,0.001,340.389,0.006,6.547e4,4,12.566,0.01,0.016,5.313e-6
0.08,9.347e-4,9.347e-4,0.092,0.092,6.029,6.029,-1.561e-5,0,1.561e-5,270,0.001,0.033,28.61,-80.6,87.477,0,0,0,90,0,341.312,50.223,0.007,7.106e-5,9.792,NaN,23.287,NaN,5.4,1.616,4.643e-7,0.442,0.101,0.12,1.384e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.086,90,15,1013.25,0.001,340.389,0.006,6.632e4,4,12.566,0.01,0.017,1.176e-5
0.09,0.002,0.002,0.162,0.162,8.012,8.012,-2.731e-5,0,2.731e-5,270,0.001,0.034,28.61,-80.6,85.609,0,0,0,90,0,341.215,50.126,0.007,7.106e-5,9.792,NaN,23.283,NaN,6.075,1.818,2.462e-6,0.44,0.101,0.12,7.14e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.112,90,15,1013.25,0.001,340.389,0.006,6.726e4,4,12.566,0.01,0.018,2.075e-5
